Story ID,Alternation Score,Coherence Score,info_density_token,info_density_sentence,token_norm,sentence_norm,Information Density,Flesch Reading Ease,Normalized Readability,combined_normalized,corret_normalized,federated_bonus,normalized_sparql_feature_metric,diversity_metric,SPARQL Proficiency
D-hp3wDV,0.7,0.4741769433021545,0.2726089229901952,3.4721768086119598,0.7992372788413925,0.784433040701514,0.7903547359574654,33.14,0.063804535924349,1.0,1.0,0.0,0.6353591160220992,0.1630434782608695,0.4193610377131874
y4Srva15,0.4,0.6072245836257935,0.3138335084924376,3.033723915426897,0.9200998873604894,0.6853779075203708,0.7792666994564182,51.18,0.2927635012704427,1.0,1.0,0.0,0.3447513812154694,0.1391304347826087,0.2935527263992312
7qpfziir,0.9285714285714286,0.4008556306362152,0.3016308175338655,2.959752397051056,0.8843239288581245,0.6686662864586352,0.754929343418431,61.36,0.5339476914144965,1.0,1.0,0.0,0.4701155198392764,0.1422924901185771,0.3449632039831414
Nokx0yU6,0.6666666666666666,0.4486441314220428,0.3017490790599756,3.2186568433064067,0.8846706490581937,0.7271578936612118,0.7901629958200045,49.15,0.2525609797798001,1.0,1.0,0.0,0.2209944751381214,0.1014492753623188,0.2289775002001761
gz_gxhYn,0.9285714285714286,0.4851195514202118,0.2525864916179025,3.466047968312329,0.7405353354484565,0.7830484151201528,0.7660431832514742,41.7,0.138238273172494,1.0,1.0,0.0,0.4620793571069813,0.1304347826086956,0.3370056558862708
U2OtB3XT,0.9285714285714286,0.4777712821960449,0.3069588766958668,2.835715337095151,0.8999447803674385,0.6406438747371012,0.7443642369892361,61.97,0.5490913371221596,1.0,1.0,0.0,0.5082872928176793,0.1576086956521739,0.3663583953879412
v4h_GSI0,0.8,0.4944913387298584,0.2723279646605612,3.2679355759267352,0.7984135626974697,0.7382909287000393,0.7623399822990116,34.97,0.075648136294127,1.0,1.0,0.0,0.3867403314917126,0.1413043478260869,0.3112178717271198
1ptR3pru,0.25,0.3711011409759521,0.319796364883274,2.878167283949466,0.9375818430634048,0.6502346045847387,0.7651734999762051,71.44,0.7584132866558312,1.0,1.0,0.0,0.3486801718845916,0.1256038647342995,0.2897136146475564
JQpdcw-d,0.8823529411764706,0.3246283531188965,0.2826785861408402,3.0989948702847663,0.8287596073370758,0.7001239001385051,0.7515781830179333,47.49,0.2225270820413599,1.0,1.0,0.0,0.3572744014732963,0.0942028985507246,0.2805909200096084
B9SLlUry,0.4285714285714285,0.5007763504981995,0.3362249033844435,2.83389561424031,0.985747179190308,0.6402327635492387,0.7784385298056664,63.59,0.5887983407216412,1.0,1.0,0.0,0.5303867403314914,0.1576086956521739,0.3751981743934661
r7i-PG2n,0.8461538461538461,0.4246287643909454,0.2409190717685974,3.225638683123999,0.7063286895721069,0.7287352286126524,0.7197726129964342,41.4,0.134703051952028,1.0,1.0,0.5555555555555556,0.8496009821976669,0.2028985507246377,0.5765553687244774
AUmcnOzL,0.8888888888888888,0.4992618560791015,0.2885798375437391,3.339280977291838,0.8460609489853149,0.7544092582718765,0.7910699345572518,41.29,0.1334260565987143,0.92,0.8333333333333335,0.0,0.7734806629834251,0.1956521739130435,0.4709864680919208
tyK82z37,0.7647058823529411,0.414790004491806,0.278919122739352,3.3470294728722245,0.8177375789091316,0.7561597958406746,0.7807909090680574,34.19,0.070371283614184,0.82,0.7272727272727273,0.0,0.3134103465595177,0.1146245059288537,0.2439412137226213
IRRbkmZk,0.8181818181818182,0.3773496150970459,0.3007721717666542,3.188185020726535,0.8818065435174424,0.7202737095428341,0.7848868431326774,48.84,0.2467539960508134,0.94,0.875,0.0,0.4254143646408838,0.1358695652173913,0.3120135719433101
Vy4_Rxzv,0.5,0.4581222534179687,0.3059555740180155,3.1615409315194936,0.8970032886022221,0.7142542856870089,0.7873538868530943,44.44,0.174221370460388,1.0,1.0,0.0,0.6314127861089185,0.1739130434782609,0.4221303318348718
M9EZmoBI,0.8518518518518519,0.412262350320816,0.2534778706491704,3.459972934361176,0.7431486884654904,0.7816759454513132,0.7662650426569841,47.01,0.2143333634251912,0.95,0.9473684210526316,0.0,0.2465833091014829,0.0823798627002288,0.2263221108259479
uhDaBOl1,0.7333333333333333,0.4614597260951996,0.2478814067308754,3.656250749280413,0.7267409254908612,0.8260189647346244,0.7863077490371191,41.19,0.1322740537009804,0.86,0.7272727272727273,0.0,0.1767955801104971,0.0988142292490118,0.1829711964710763
16FP4tfG,0.4,0.5776093006134033,0.2609024622617243,3.587408856098709,0.7649161725662939,0.8104662269068061,0.7922462051706012,27.86,0.0386422637712664,1.0,1.0,0.0,0.3977900552486185,0.1478260869565217,0.3182464568820561
sUMoEZI5,0.6842105263157895,0.4134825766086578,0.2862397635432991,2.951847561540272,0.8392002990994474,0.6668804286242676,0.7358083768143395,49.04,0.2504901239328502,0.92,0.8461538461538461,0.0,0.1121971950701232,0.1003344481605351,0.1696280419076479
_HnVHPjm,0.6666666666666666,0.232419341802597,0.3190356121694395,3.030838315609675,0.9353514614522416,0.6847259937603176,0.7849761808370872,62.17,0.5540381161630641,1.0,1.0,0.0,0.0,0.072463768115942,0.1289855072463768
4D206Lam,0.4545454545454545,0.3909267485141754,0.2724987357642029,3.153199656700063,0.7989142309466314,0.7123698276278156,0.7469875889553419,51.38,0.2969216577739354,0.85,0.8,0.0,0.4375690607734804,0.1391304347826087,0.3106797982224357
j3ZikN40,0.7,0.548674464225769,0.2186504778982893,4.22724257270026,0.6410414268761265,0.955017249369786,0.8294269203723221,28.06,0.0393921387726999,1.0,1.0,0.0,0.7690607734806626,0.1739130434782608,0.4771895267835693
BOGODrvZ,1.0,0.4716654121875763,0.2457883360656969,3.3226941727399777,0.7206044421926965,0.7506619728520022,0.7386389605882799,37.64,0.0965639363965808,0.97,0.9333333333333332,0.8,0.7366482504604049,0.1710144927536231,0.5363984306189445
abkhtH-r,0.3,0.3656629621982574,0.241550638071515,3.3817089330012102,0.7081803213082035,0.7639945680479524,0.7416688693520528,53.65,0.3463776691004959,1.0,1.0,0.0,0.4552486187845302,0.1217391304347826,0.3307950996877251
Huo1mZpJ,1.0,0.4414704740047455,0.2998947117746565,3.107999740210077,0.879233998464243,0.7021582773853992,0.7729885658169366,43.02,0.1547266571303997,0.95,0.9090909090909092,0.0,0.4419889502762428,0.1225296442687746,0.3167165287270979
JYOzBt8Y,0.5,0.7347452640533447,0.2426333685549871,3.720378317843136,0.711354680224401,0.8405066438976454,0.7888458584283475,37.34,0.093978244879234,1.0,1.0,0.0,0.5205647636586861,0.1642512077294685,0.3739263885552618
buiNjeJj,0.4736842105263157,0.3422672152519226,0.2908413053204732,3.170170227993158,0.8526911404414085,0.7162038135034386,0.7707987442786266,44.14,0.1699474133826865,0.97,0.9411764705882352,0.0,0.3431914202144945,0.1329923273657288,0.2845911460909128
PziKYGG_,0.8823529411764706,0.4632317721843719,0.3111490710403712,2.9386301153812844,0.9122296296268986,0.6638943475424842,0.76322846037625,50.97,0.2884343868196977,1.0,1.0,0.0,0.5171270718232042,0.1260869565217391,0.3572856113379773
wa1_2kB_,1.0,0.5484132766723633,0.2735406150306278,3.349024286726335,0.8019688218992855,0.7566104635294089,0.7747538068773595,39.37,0.1127453796679008,1.0,1.0,0.0,0.2593001841620624,0.1014492753623188,0.2442997838097525
