,story_id,info_density_token,info_density_sentence,token_norm,sentence_norm,information_density
0,D-hp3wDV,0.2726089229901952,3.4721768086119593,0.7992372788413925,0.784433040701514,0.7903547359574654
1,y4Srva15,0.31383350849243763,3.033723915426897,0.9200998873604894,0.6853779075203708,0.7792666994564182
2,7qpfziir,0.30163081753386556,2.959752397051056,0.8843239288581245,0.6686662864586352,0.754929343418431
3,Nokx0yU6,0.3017490790599756,3.2186568433064067,0.8846706490581937,0.7271578936612118,0.7901629958200045
4,gz_gxhYn,0.25258649161790253,3.466047968312329,0.7405353354484565,0.7830484151201528,0.7660431832514742
5,U2OtB3XT,0.30695887669586686,2.835715337095151,0.8999447803674385,0.6406438747371012,0.7443642369892361
6,v4h_GSI0,0.27232796466056125,3.2679355759267352,0.7984135626974697,0.7382909287000393,0.7623399822990116
7,1ptR3pru,0.319796364883274,2.878167283949466,0.9375818430634048,0.6502346045847387,0.7651734999762051
8,JQpdcw-d,0.2826785861408402,3.0989948702847663,0.8287596073370758,0.7001239001385051,0.7515781830179333
9,B9SLlUry,0.33622490338444355,2.83389561424031,0.9857471791903079,0.6402327635492387,0.7784385298056664
10,r7i-PG2n,0.24091907176859745,3.225638683123999,0.7063286895721069,0.7287352286126524,0.7197726129964342
11,AUmcnOzL,0.2885798375437391,3.339280977291838,0.8460609489853149,0.7544092582718765,0.7910699345572518
12,tyK82z37,0.27891912273935204,3.3470294728722245,0.8177375789091316,0.7561597958406746,0.7807909090680574
13,IRRbkmZk,0.3007721717666542,3.188185020726535,0.8818065435174424,0.7202737095428341,0.7848868431326774
14,Vy4_Rxzv,0.30595557401801554,3.1615409315194936,0.8970032886022221,0.7142542856870089,0.7873538868530943
15,M9EZmoBI,0.2534778706491704,3.4599729343611756,0.7431486884654904,0.7816759454513132,0.7662650426569841
16,uhDaBOl1,0.24788140673087547,3.656250749280413,0.7267409254908612,0.8260189647346244,0.7863077490371191
17,SXefpzf4,0.0,0.0,0.0,0.0,0.0
18,EzsIH_Et,0.0,0.0,0.0,0.0,0.0
19,16FP4tfG,0.2609024622617243,3.587408856098709,0.7649161725662939,0.8104662269068061,0.7922462051706012
20,sUMoEZI5,0.2862397635432991,2.951847561540272,0.8392002990994474,0.6668804286242676,0.7358083768143395
21,_HnVHPjm,0.3190356121694395,3.030838315609675,0.9353514614522417,0.6847259937603176,0.7849761808370872
22,4D206Lam,0.27249873576420297,3.153199656700063,0.7989142309466314,0.7123698276278156,0.7469875889553419
23,j3ZikN40,0.21865047789828934,4.22724257270026,0.6410414268761265,0.955017249369786,0.8294269203723221
24,BOGODrvZ,0.24578833606569697,3.3226941727399777,0.7206044421926965,0.7506619728520022,0.7386389605882799
25,abkhtH-r,0.24155063807151503,3.3817089330012102,0.7081803213082035,0.7639945680479524,0.7416688693520528
26,Huo1mZpJ,0.29989471177465654,3.107999740210077,0.879233998464243,0.7021582773853992,0.7729885658169366
27,JYOzBt8Y,0.24263336855498716,3.7203783178431364,0.711354680224401,0.8405066438976454,0.7888458584283475
28,buiNjeJj,0.2908413053204732,3.170170227993158,0.8526911404414085,0.7162038135034386,0.7707987442786266
29,PziKYGG_,0.31114907104037126,2.9386301153812844,0.9122296296268986,0.6638943475424842,0.76322846037625
30,wa1_2kB_,0.2735406150306278,3.349024286726335,0.8019688218992855,0.7566104635294089,0.7747538068773595
31,lkuzAhad,0.3047739336563224,3.1373787288150834,0.8935389448203322,0.7087955688122067,0.782692919215457
32,jamFJtUo,0.31325426881400503,2.8287809729264697,0.9184016672901064,0.639077265468622,0.7508070261972157
33,gzeEqkGo,0.25463062737964226,3.6072672212115986,0.7465283509590089,0.8149526222108207,0.787582913710096
34,KzqVF2Z6,0.2612023321690877,3.509906338522116,0.7657953338429634,0.7929568836689158,0.7820922637385348
35,Ww1HhAGH,0.26114082411083656,3.020528865548676,0.7656150039676083,0.6823968861989597,0.7156841333064191
36,IuSofTQ_,0.24806303892056425,3.604210036081139,0.7272734363692454,0.8142619439533294,0.7794665409196958
37,TQjKggI7,0.28947031657740074,3.2668792870878085,0.8486716633813167,0.7380522922735407,0.7823000407166512
38,Jzaeaf75,0.29024739625291085,3.2341852725324354,0.8509499125247608,0.7306660712761535,0.7787796077755964
39,SghkiaeU,0.23804848766080342,3.8722553992824023,0.6979126854082184,0.8748186641008738,0.8040562726238116
40,R2GpYpI5,0.28423512508380633,3.229944603225072,0.8333230821329161,0.729708020663312,0.7711540452511536
41,l3RukqzW,0.24062859132913544,3.9016207308366964,0.7054770564214172,0.8814528701312838,0.8110625446473372
42,-QO5tO8t,0.341086345953958,2.728690767631664,1.0,0.616464919262891,0.7698789515577347
43,N12KW_UW,0.2960708584388074,3.0010818832660933,0.8680231910507874,0.678003430368439,0.7540113346413784
44,8TaxJyd-,0.26263310611329094,3.3174708140626223,0.769990089690494,0.7494819133804367,0.7576851839044596
45,a-LzrTFa,0.2536012446706687,3.719484921836474,0.7435103975252689,0.8403048081661473,0.8015870439097958
46,mJpAWU1f,0.301312018388157,2.485824151702295,0.8833892706711575,0.5615965734039366,0.690313652310825
47,GVfxLAss,0.21318418183986543,4.4235717731772075,0.6250152911973862,0.9993718776613664,0.8496292430757744
48,GENuDEXR,0.2285448020812314,4.037624836768422,0.670049695017935,0.9121788729371614,0.8153272017694708
49,GghVmi8y,0.210778669704149,4.426352063787129,0.6179627892011874,1.0,0.8471851156804749
50,6yGct8pP,0.0,0.0,0.0,0.0,0.0
